Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
СРБ-Б-04-Д-2022-1;Ср;11.12.2024;12.10 - 13.40;Основы фандрейзинга в социальной сфере;Лекция;Щемелева Елена Владимировна;401
СРБ-Б-04-Д-2022-1;Ср;11.12.2024;13.50 - 15.20;Социальное предпринимательство;Практическое занятие;Ворошилина Наталья Николаевна;401
ЮСТ-Б-2-Д-2022-1;Ср;11.12.2024;10.10 - 11.40;Нотариат в РФ;Практическое занятие;Бочарова Ольга Станиславовна;212
ЮСТ-Б-2-Д-2022-1;Ср;11.12.2024;12.10 - 13.40;Нотариат в РФ;Практическое занятие;Бочарова Ольга Станиславовна;212
ЮСТ-Б-2-Д-2022-1;Ср;11.12.2024;13.50 - 15.20;Гражданское право;Практическое занятие;Климченя Вячеслав Сергеевич;212
ЮСТ-Б-2-Д-2022-1;Ср;11.12.2024;15.30 - 17.00;Иностранный язык в сфере юриспруденции;Практическое занятие;Лопацкая Юлия Алексеевна;212
МЕН-Б-3-Д-2023-1;Чт;12.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2023-1;Чт;12.12.2024;13.50 - 15.20;Тайм-менеджмент в проектной деятельности;Практическое занятие;Нарвойш Юлия Александровна;203
МЕН-Б-3-Д-2023-1;Чт;12.12.2024;15.30 - 17.00;Основы менеджмента;Практическое занятие;Нарвойш Юлия Александровна;203
МЕН-Б-3-Д-2023-1;Чт;12.12.2024;17.10 - 18.40;Социология управления;Практическое занятие;Андрейковец Елена Михайловна;203
МЕН-Б-3-Д-2023-1;Чт;12.12.2024;18.50 - 20.20;Финансово-экономический анализ в проектной деятельности;Практическое занятие;Щемелева Елена Владимировна;203
ПСИ-Б-04-Д-2023-1;Чт;12.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Чт;12.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ПСИ-Б-04-Д-2023-1;Чт;12.12.2024;13.50 - 15.20;Психология личности;Лекция;Станкевич Татьяна Ивановна;312
ПСИ-Б-04-Д-2023-1;Чт;12.12.2024;15.30 - 17.00;Психология личности;Лекция;Станкевич Татьяна Ивановна;312
ПСИ-Б-04-Д-2023-1;Чт;12.12.2024;17.10 - 18.40;Социальная психология;Лекция;Чернявская Ирина Юрьевна;312
ПСИ-Б-04-Д-2023-1;Чт;12.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Чт;12.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
СРБ-Б-04-Д-2023-1;Чт;12.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
СРБ-Б-04-Д-2023-1;Чт;12.12.2024;15.30 - 17.00;Методика исследований в социальной работе;Практическое занятие;Ворошилина Наталья Николаевна;316
СРБ-Б-04-Д-2023-1;Чт;12.12.2024;17.10 - 18.40;Методика исследований в социальной работе;Практическое занятие;Ворошилина Наталья Николаевна;316
СРБ-Б-04-Д-2023-1;Чт;12.12.2024;18.50 - 20.20;Иностранный язык (1 подгруппа);Практическое занятие;Максименко Анна Маратовна;316
ЮСТ-Б-2-Д-2023-1;Чт;12.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-1;Чт;12.12.2024;13.50 - 15.20;Административное право;Практическое занятие;Климченя Вячеслав Сергеевич;219
ЮСТ-Б-2-Д-2023-1;Чт;12.12.2024;15.30 - 17.00;Уголовное право;Практическое занятие;Климова Евгения Ивановна;154
ЮСТ-Б-2-Д-2023-1;Чт;12.12.2024;17.10 - 18.40;Правоохранительные органы;Практическое занятие;Климова Евгения Ивановна;154
ЮСТ-Б-2-Д-2023-1;Чт;12.12.2024;18.50 - 20.20;Конституционное право;Практическое занятие;Пыталев Роман Михайлович;101
ПСИ-Б-04-В-2023-1;Чт;12.12.2024;18.50 - 20.20;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;406
ПСИ-Б-04-В-2023-1;Чт;12.12.2024;20.30 - 22.00;Психология общения с практикумом;Практическое занятие;Шлимаков Максим Сергеевич;154
ПСИ-М-9-В-2023-1;Чт;12.12.2024;18.50 - 20.20;Психология стрессоустойчивости и профессионального выгорания;Практическое занятие;Реут Вероника Геннадьевна;205
